z_transition,width,fractional_H_step,replicates,compressed_post_signal_snr,compressed_pre_signal_snr,point_sample_signal_snr,compression_attenuation,post_to_pre_snr_ratio,global_3sigma_detection_fraction,detected_and_located_fraction,location_success_given_detection,median_recovered_z,median_recovered_width,median_recovered_fractional_H_step
0.934,0.005,0.1,1000,3.1008933048594414,3.1082970495015814,3.0840269719704154,1.005468931705954,0.9976180704339931,0.355,0.28,0.7887323943661971,0.9,0.15,0.12191361348790697
0.934,0.005,0.2,1000,17.64689991433207,11.90170561062668,5.639771739556863,3.1290095999024685,1.4827202496569634,1.0,0.0,0.0,1.15,0.005,0.34392737554256286
0.934,0.03,0.005,1000,0.1739422711214854,0.1739422711214854,0.16934440414163696,1.027150982656639,1.0,0.005,0.002,0.4,0.85,0.15,0.10448601119452804
0.934,0.03,0.01,1000,0.3383575256927,0.3383575256927,0.3369042698616838,1.0043135571763837,1.0,0.006,0.0,0.0,1.475,0.017499999999999998,-0.1959472266827805
0.934,0.03,0.02,1000,0.6682641081842169,0.6686477396456988,0.6667932412231594,1.002205881628853,0.9994262577456926,0.008,0.002,0.25,1.15,0.15,0.11554312326673943
0.934,0.03,0.05,1000,1.618388146089393,1.618388146089393,1.6167071630922902,1.0010397572519487,1.0,0.038,0.024,0.631578947368421,0.925,0.005,0.11019723403963838
0.934,0.03,0.1,1000,3.1059059794975705,3.108168286983394,3.079987804081357,1.0084150253393434,0.9992721412494627,0.351,0.289,0.8233618233618234,0.9,0.15,0.12085698371900076
0.934,0.03,0.2,1000,5.118149944161587,12.268926729788463,5.634618829777353,0.9083400490399856,0.41716362456831074,0.929,0.858,0.9235737351991389,0.9,0.15,0.14869859990096773
0.934,0.15,0.005,1000,0.17864949274553596,0.17864949274553596,0.15994765364901395,1.1169247480026245,1.0,0.002,0.002,1.0,0.7,0.005,0.08498273841870349
0.934,0.15,0.01,1000,0.3232852281105733,0.3232852281105733,0.3181698428124005,1.0160775303308331,1.0,0.005,0.002,0.4,0.75,0.005,-0.09505408813637287
0.934,0.15,0.02,1000,0.6372466478231619,0.6372466478231619,0.6295547678345013,1.0122179679698378,1.0,0.01,0.006,0.6,0.8,0.15,0.11488072736470592
0.934,0.15,0.05,1000,1.5336278345684455,1.5336278345684455,1.525227757354667,1.005507424824439,1.0,0.023,0.016,0.6956521739130435,0.9,0.15,0.11723774767409513
0.934,0.15,0.1,1000,2.8947220416957458,2.894863958410957,2.9017638479124774,0.9975732669556148,0.999950976378424,0.271,0.246,0.9077490774907749,0.9,0.15,0.12180178385917338
0.934,0.15,0.2,1000,4.7895313592715,12.716046448133774,5.293244071880378,0.9048385629363321,0.3766525530405261,0.873,0.845,0.9679266895761741,0.9,0.15,0.1441030170365817
1.321,0.005,0.005,1000,0.14612965355512517,0.14612965355512517,0.14443909049031928,1.0117043319718162,1.0,0.003,0.001,0.3333333333333333,1.15,0.005,0.08514968349777477
1.321,0.005,0.01,1000,0.2784948499362096,0.2784948499362096,0.28779069838674254,0.9676992741508245,1.0,0.001,0.0,0.0,0.8,0.005,0.0796812757889992
1.321,0.005,0.02,1000,0.549866634640023,0.549866634640023,0.5712919884278341,0.9624966668152085,1.0,0.008,0.001,0.125,1.45,0.0775,0.21233977854481606
1.321,0.005,0.05,1000,1.3012026079194376,1.277997846565205,1.3972153832069023,0.9312827668221808,1.0181571208563447,0.015,0.005,0.3333333333333333,1.3,0.005,0.12855320873991635
1.321,0.005,0.1,1000,2.504258157890883,2.392239038209525,2.6980964067894617,0.9281574044534487,1.0468260562143485,0.157,0.06,0.3821656050955414,1.35,0.15,0.13370808153907696
1.321,0.005,0.2,1000,10.279489294495182,6.5192565025020475,5.05549990192354,2.0333279584446227,1.5767885939984079,1.0,0.0,0.0,1.55,0.005,0.66557420451586
1.321,0.03,0.005,1000,0.14612965355512517,0.14612965355512517,0.14437438317868984,1.0121577688353678,1.0,0.003,0.0,0.0,0.45,0.005,-0.10382414129036006
1.321,0.03,0.01,1000,0.2784948499362096,0.2784948499362096,0.28767066570521277,0.9681030537246158,1.0,0.003,0.0,0.0,0.7,0.15,-0.16433676685100201
